article,title
russian foreign minister yevgeny primakov said today that moscow harbors `` no jealousy '' towards a better relationship between china and the united states .,russia welcomes better sino-u.s. ties
"online discount broker ameritrade holding corp. reported a wider loss for the first quarter on wednesday , blaming a drop in trading activity .",ameritrade reports #q loss
"floodlights illuminating budapest monuments , bridges , the parliament and other public buildings will be turned off wednesday evening in memory of the victims of the chernobyl nuclear disaster .",hungary pays tribute to victims of chernobyl nuclear disaster
"of all the ways to boost your macintosh 's performance , nothing beats adding memory .",drop in ram prices eases bite of boosting mac 's memory
"ian paisley , a giant of northern ireland politics for ## years , passes the reins of his party saturday to peter robinson , who takes over as first minister of the british province next week .",n ireland 's veteran firebrand leader steps aside
"health and human services secretary michael leavitt said sunday the death toll from hurricane katrina and its aftermath is in the thousands , the first time a federal official has acknowledged what many feared .",federal official says death toll in the <unk>
an israeli described by u.s. authorities as one of the world 's biggest drug traffickers pleaded guilty tuesday to federal charges of conspiring to import thousands of ecstasy pills into the united states .,israeli pleads guilty to u.s. ecstasy trafficking charges
federal reserve chairman ben bernanke will likely face more pressure from some his own colleagues next year to scale back the fed 's $ ### billion bond-buying program to rev up the economy .,new fed lineup next year could mean more dissents
the european commission bowed to critics thursday and called for changes in draft legislation to ease provision of eu-wide services _ from insurance to health care to construction _ saying the bill stands no chance of being enacted because it is too pro-business .,eu retreats on services bill ; agrees law needs to lose its pro-business stamp
"jordanian foreign minister marwan muasher left here monday evening after talks with his egyptian counterpart ahmed maher on an israeli killing of hamas spiritual leader sheikh ahmed yassin , airport sources said .",jordanian fm ends visit to egypt
"when nbc 's new version of `` knight rider '' makes its debut as a series this fall , it has the advantage of having the talented bruce davison as a member of the cast .",actor s latest vehicle is knight rider
"shanghai will officially launch a ###-million-dollar subway line linking the southwest with the northeast of the eastern metropolis next monday , xinhua news agency reported friday .",shanghai gets its first subway
"a brother-in-law of osama bin laden , who had been sought in the philippines for alleged terror financing , has been killed in madagascar in what appeared to be a burglary , the victim 's brother said wednesday .",bin laden s brother-in-law wanted in philippines killed in madagascar brother says
"alan w. livingston , an entertainment executive who had significant roles in bringing bozo , the beatles and `` bonanza '' to american audiences , died friday at home in beverly hills .",alan w. livingston who signed beatles dies at ##
"hong kong share prices opened #.## percent higher wednesday with investor interest sparked by another strong wall street finish , and hsbc helping to drive a market rebound , dealers said .",hong kong shares open higher as wall st rise triggers rebound
"an oklahoma city investor group that includes some saturn dealers has made an offer to acquire the assets of general motors corp. 's saturn brand , with plans to operate it as an independent company that would sell vehicles from a variety of manufacturers .",ok group makes bid for saturn
"lebanon is slipping toward a constitutional crisis _ and a tough early test for syria 's new young leader , bashar assad _ as it goes into a final round of parliamentary elections on sunday .",critical election in lebanon will test syria 's assad
"palestinian police arrested two hamas members , both one-time fugitives from israeli security forces , in their continuing crackdown on islamic hardliners , the group said saturday .",police arrest two hamas militants
north korea warned wednesday that it would no longer recognize the un security council should it not take the united states to task for its `` wrong korean policy '' .,north korea threatens to not recognize un security council
"thousands of workers and civil servants marched through the capital friday , angered by the government 's failure to ease the deep economic crisis that has cost turkey a million jobs .",thousands protest turkish government 's inability to end economic
"masked gunmen shot and seriously wounded a palestinian wednesday in tulkarm in the north of the occupied west bank , witnesses said .",masked gunmen shoot and wound palestinian on west bank
former five-time champion felix trinidad may be making plans for a comeback _ or at least boxing promoter don king hopes so .,former champion felix trinidad reportedly mulling comeback
"the sleek air-conditioned buses between india and pakistan have carried the sorrowful freight of the subcontinent 's history for nearly three years , doing their bit to reunite thousands of families separated by the violent <unk> of these two nations from the british indian empire ## years ago .",on last bus to pakistan a heavy load of grief
"nuns at mother teresa 's order have obtained a copyright to her name and their logo from indian authorities , one of the sisters said tuesday .",india grants copyright for mother teresa 's name nuns logo
"a bomb exploded outside the north mogadishu home of the top military commander of a somali faction sunday , damaging several buildings but without wounding anyone , witnesses said monday .",bomb explodes at somali militia leader 's home in mogadishu
the government of costa rica signed a national emergency decree monday to rally reconstruction efforts in communities hardest hit by last week 's tropical storm `` alma '' .,costa rica declares national emergency following tropical storm alma
"top house republicans knew for months about e-mail traffic between rep. mark foley and a former teenage page , but kept the matter secret and allowed foley , r-fla .",leaders in gop knew in late '## of e-mail to page
france 's damian nazon won the first stage of the kent tour of china cycling race in southern china friday but prologue winner steve <unk> of the united states retained the yellow jersey .,france 's nazon wins first stage of tour of china
"little-known american t.j. middleton upset his second name opponent in as many days thursday , beating russian andrei cherkasov of russia , #-# , #-# -lrb- #-# -rrb- , #-# at the dlrs ###,### st. petersburg open .",little-known american scores second upset
former president bill clinton headed to pennsylvania to try to sway a pivotal race in the democrats ' campaign to keep control of the u.s. senate after tuesday 's congressional elections .,bill clinton heads to pennsylvania to sway race
"china on friday confirmed two new outbreaks of bird flu in poultry , bringing to ## the number of cases reported nationwide since oct. ## .",china confirms two new bird flu outbreaks in poultry
"iraq 's prime minister will travel to brussels later this week for his first official visit to discuss relations with the european union , especially in the energy field , a government spokesman said sunday .",iraqi pm to discuss energy deals during first official visit to eu
"chinese share prices closed #.## percent lower on wednesday as investors cashed in on recent gains by telecom stocks , dealers said .",chinese shares close down #.## percent
british number one tim henman has been forced to withdraw from next week 's marseille open atp tennis tournament because of an ongoing back problem .,henman pulls out of marseille open due to injury
"the new northern ireland assembly will be dominated by hard-liners on both sides , election results showed friday , setting the stage for a major diplomatic push this month to forge a catholic-protestant administration of bitter enemies .",hard-liners win northern ireland assembly face march ## deadline to share power
q. i have to constantly clean my porch of droppings from birds nesting under an awning on a beam supporting the awning .,stop messy birds from making themselves at home
the israeli army has banned demonstrations here saturday night on the ##th anniversary of a massacre of ## muslim worshippers in the west bank town of hebron by a jewish extremist .,israeli army bans tomb demonstration on ##th anniversary of hebron massacre
"sen. jim jeffords of vermont does n't sit on the judiciary committee , but his defection from the gop last week has set a new course for the committee and president george w. bush 's judicial candidates .",a crucial shift at the judiciary committee
the world bank approved on thursday a total of ### million u.s. dollars in loans and credit for china to finance the construction of the ###-kilometer <unk> expressway and the protection of environment in five cities in sichuan province .,world bank lends ### million dollars to china
"when darryl strawberry finally rejoins the new york yankees in baltimore next week , those expecting some kind of explosion could be disappointed .",in clubhouse strawberry is praised
the un high commissioner for refugees is to fly to east africa wednesday in a bid to open floodgates and allow two million rwandan and burundian hutus in sprawling refugee camps to return home .,ogata to visit east africa in bid to open refugee floodgates
a presidential panel may recommend raising the cap on social security payroll taxes and cutting future benefits to provide funds to restore the program 's fiscal health and establish individual investment accounts .,panel may urge bigger social security tax bite lower benefits
democratic national committee chairman howard dean is embarking on a voter registration bus tour he hopes will help push southern states to the democrats in the november presidential election .,democrats party leader to embark on bus tour to register voters in us south
police on thursday arrested two dozen protesters who have been preventing work on the road that will carry tourists and athletes between vancouver and whistler during the #### winter olympics .,demonstrators arrested in protest of highway expansion to winter olympics site
"french special forces monday stormed an air france plane hijacked in algeria over the weekend , killing two of the hijackers who commandeered the plane , interior minister charles pasqua said .",four hijackers killed as french forces storm plane
"several hundred people of all faiths prayed friday evening at warsaw synagogue for polish-born pope john paul ii , who was laid to rest in rome .",<unk> prayer at warsaw synagogue for pope john paul ii
"britain 's highest court wednesday overturned an assets freeze on suspected terrorists , which was introduced in line with un security council resolutions .",british court overturns suspected terrorist asset freeze
"four people , a couple and their two children , were killed in a fire outbreak in nigeria 's northeastern gombe state early this week , according to local media reports reaching here on wednesday .",fire kills family of four in ne nigeria
"a railroad signals expert testified today he found no evidence that a crossing gate hit a <unk> truck that drove into the path of an amtrak train , setting off a crash that killed ## passengers .",expert speaks at amtrak hearing
"east china 's fujian province is keen to counter the effects of the asian financial crisis and attract more overseas investment , an investment promotional fair held here indicates .",china 's fujian province seeks to attract overseas investment
"iranian foreign minister kamal kharazi urged oil producers who have declined to join an export embargo against israel to donate one month of their oil revenue to the palestinians , the official irna news agency reported on saturday .",iran asks oil producers to give month 's income to palestinians
"tel aviv , israel a suicide bomber killed himself and ## young israelis at the entrance to a beachfront nightclub late friday night in the worst single attack in over eight months of violence between palestinians and israelis .",bombing rips through young israeli crowd worst attack of recent
new england patriots owner robert kraft will not sign a final agreement to move the team to connecticut unless he is convinced within the next few days that a steam plant on the proposed site of the new stadium in hartford can be taken down by the summer of #### .,kraft wants decision on steam plant before signing
"rafael nadal continued his defense of his barcelona open crown wednesday with a #-# , #-# win over fellow spaniard feliciano lopez to claim his ##rd consecutive victory on clay .",nadal edges closer to borg 's clay record
"brazilian president luiz inacio lula da silva , who arrived in the nigerian capital abuja monday for a two-day official visit , held talks with his nigerian counterpart olusegun obasanjo on bilateral cooperation .",brazilian president hopes for more cooperation with nigeria
"while the irs is effectively discouraging millions of people from filing their federal tax returns electronically , massachusetts is aggressively promoting a new system that enables about a third of all taxpayers to file state returns by telephone .",massachusetts <unk> helps make filing less taxing
"a young girl and a man died after an illegal boiler exploded at a <unk> factory near the thai capital , the nation newspaper reported sunday .",two die in boiler blast at thai <unk> factory
los angeles kings goalie marcel <unk> underwent surgery to repair a hernia .,kings <unk> has hernia surgery
"in a colorful , often clamorous pressure campaign that has relied on support from college campuses and church groups , a group of farmworkers has persuaded mcdonald 's and taco bell to have their tomato suppliers pay their pickers more .",campaign to raise tomato pickers wages faces obstacles
"britain may introduce a new u.n. resolution authorizing the use of force against iraq , despite resistance from the four other veto-wielding members of the security council , british and u.s. diplomats said .",britain may introduce resolution authorizing force against iraq ; france and russia balk
the nigerian military government wednesday ordered the `` immediate grounding '' of all operations of adc airline which lost a boeing ### in a deadly crash earlier this month .,government grounds planes of crash airline
"the sister of hostage ingrid betancourt , held by colombian rebels , said saturday efforts to secure her release would not succeed unless paris <unk> the rebel revolutionary armed forces of colombia -lrb- farc -rrb- `` positive compensation '' in return .",betancourt 's sister says farc must be compensated to secure release
count gov. jesse ventura among the nation 's undecided voters .,ventura prefers #rd party candidates
china 's first union lawyers will take office this month to provide free legal advice and services for workers involved in industrial disputes .,china 's first union lawyers to take office
"when he reported to the u.s. capitol this week , sen. scott brown completed an improbable ascent from the massachusetts statehouse , where , as a junior member of an outmatched republican minority , he left a faint imprint on the commonwealth .",in state senate brown a quiet presence
nato secretary general jaap de hoop scheffer says russia has violated georgia 's territorial integrity in south ossetia and used excessive force .,nato chief says russia used excessive force
pakistan 's election commission announced a rule change monday that could help president gen. pervez musharraf overcome legal obstacles to his quest for re-election .,pakistan announces change in election rule that could favor musharraf
"kosovo 's former communist leader mahmut <unk> will be the first witness to appear in the war crimes trial against slobodan milosevic , a communist party official said saturday .",kosovo 's ex-communist leader to testify first against milosevic
shares in british bank hsbc have opened slightly lower in london in the market 's first reaction to a management shakeup .,hsbc shares open lower after management shakeup
"general motors co. has repaid the $ #.# billion in loans it got from the u.s. and canadian governments , a move its ceo says is a sign automaker is on the road to recovery .",gm pays back government loans from us canada
there is as much relief as there is celebration on wall street now that the dow jones industrial average has set new record highs for the first time in nearly seven years -- these milestones are more a sign of recovery than achievement .,dow jones industrial average surges to #nd straight closing high
a woman testified friday that she used marijuana and cocaine with the dallas cowboys wide receiver michael irvin on several occasions before he was found with two other women in a motel room by the police during a drug bust four months ago .,trial witness accuses irvin of drug use
"britain will not commit its troops to a combat role in sierra leone , the british broadcast cooperation -lrb- bbc -rrb- wednesday quoted a high ranking british official as saying .",uk rejects military intervention in s. leone crisis
"joan <unk> , an actress who starred in the original #### broadway production of `` man of la mancha , '' has died .",joan <unk> star of man of la mancha dies at ##
"russian and ukrainian diplomats on thursday argued over bases and other facilities used by the russian navy in ukraine 's crimean peninsula , saying that tense talks have failed to bring their positions closer .",russian ukrainian diplomats in tense talks over black sea fleet
"china 's booming private sector will get level playing ground in market competition with the state sector as well as foreign investors , senior economic officials pledged here sunday .",china to provide level playing ground for private businesses
tampa the sorrow suffered by the family of slain tampa police officer jeffrey <unk> was compounded wednesday .,new loss for officer s family
"an earthquake with a preliminary magnitude of #.# rocked the eastern caribbean on thursday , the u.s. geological survey said .",earthquake with preliminary magnitude of #.# rocks caribbean
member states of the kuwait-based regional organization for protection of marine environment -lrb- <unk> -rrb- signed a protocol here tuesday to control marine transboundary movement and disposal of hazardous wastes .,gulf states sign protocol on controlling marine
a number of major airlines including lufthansa and british airways are set to make it possible to e-mail or even surf the internet in a flying plane as a new measure to attract passengers .,airlines set to provide web service in flight
"syria on thursday accused israel 's mossad intelligence agency of planting the bomb that ripped apart a bus in the syrian capital damascus , killing at least ## people .",syria blames israel for deadly explosion in damascus
"it is estimated that there are ##,### child laborers aged #-## years working in about ##,### restaurants , <unk> and eateries across nepal , according to a survey released saturday by a non-governmental organization in nepal .","over ##,### child laborers in nepal 's restaurants <unk>"
"tampa a group of black and latino pastors pledged wednesday to rally support among their congregations for amendment # , the measure that would essentially ban gay marriage in florida .",pastors pan gay marriage
share prices on the jakarta stock exchange ended higher thursday led by gains in mining and cigarette shares .,jakarta shares close higher
"the ##th isf world volleyball cup opened in cyprus ' south-eastern coastal town of larnaca on sunday with the participation of ## teams , boys and girls , from ## countries and regions .",##th isf world volleyball cup opens in cyprus
a last-minute promise by speaker newt gingrich allowed the house republican leadership to escape by one vote another embarassing defeat thursday .,gop house leadership <unk> out narrow win saves face on nea
"us airstrikes began at dusk tuesday as iraqi and us troops braced for an imminent assault on najaf 's holy shrine , with orders to kill or capture militia leader moqtada sadr unless he surrendered .",hundreds of iraqi us troops braced for najaf assault
"a tanker loaded with diesel fuel sank off southeastern china after a collision with another ship , but there was no sign the fuel was leaking , a local official said .",tanker carrying diesel fuel sinks off china coast
"prime minister stephen harper on monday held formal talks with the dalai lama , becoming the first canadian leader to ignore china 's warnings not to host the exiled tibetan spiritual leader .",dalai lama holds first formal talks with a canadian pm
"mo vaughn missed his second consecutive game sunday with a bruised right hand and flew to new york to be examined monday by the mets ' doctor , andrew <unk> .",injured vaughn and piazza miss game
tokyo stocks finished higher thursday on hopes the u.s.-led campaign to disarm iraq by force will be quick and successful .,tokyo stocks finish higher u.s. dollar up against yen
the top united nations human rights body wednesday delayed for ## hours a vote on the human rights situation in cuba .,u.n. human rights body adjourns vote on cuban human rights record
farm subsidies are one of those new deal programs that this month 's republican tidal wave seemed destined to wash away .,gop threat to farm subsidies plants seeds of resistance
"when hajji juma khan was arrested and transported to new york to face charges under a new u.s. narco-terrorism law in #### , federal prosecutors described him as perhaps the biggest and most dangerous drug lord in afghanistan , a shadowy figure who had helped keep the taliban in business with a steady stream of money and weapons .",propping up an afghan drug lord then charging him
"the national democratic party -lrb- rpp -rrb- , nepal 's third largest party and the ruling partner in the present coalition government , would not support a no - confidence motion against the government , it leader said today .",nepal 's ruling partner not to support no-confidence motion
authorities say that a wildfire burning in the foothills near boulder has destroyed at least ### houses .,### homes destroyed in colorado wildfire
"china has warned that the death toll from a massive earthquake two weeks ago could take a major leap and pass ##,### , suggesting the government may be giving up hope of finding more survivors .","china earthquake toll rises to ##,### but premier says it could be more than ##,###"
"foreign secretary david miliband on thursday reiterated the reasons britain , together with ## other countries , are in afghanistan .",british foreign secretary defends afghan policy
"gold opened at us$ ###.## an ounce on wednesday in hong kong , down us$ #.## an ounce from tuesday 's close of us$ ###.## .",gold opens lower in hong kong
over ### former detainees of iraq 's notorious abu ghraib prison have filed a suit against a private u.s. military contractor that they say participated in a conspiracy to commit torture .,ex-detainees of abu ghraib sue private u.s. military contractor over torture
"with work barely begun , public ire over one of europe 's biggest construction projects has exposed some hard truths about germany , the continent 's top economy .",germany 's divisive multi-billion rail masterplan
"officials from ukraine 's state gas company naftogaz were in moscow on monday for talks with gazprom less than ## hours before the russian natural gas monopoly was to cut supplies because of unpaid debts , a naftogaz official said .",ukraine in <unk> talks to avoid russian gas cuts
"resurgent republicans smashed the democratic power monopoly tuesday , exit polls projected , in a debilitating blow to president barack obama just two years after he took power on a tide of hope and history .",republicans deal stinging mid-term rebuke to obama
"a group of young people staged a skit at the national taiwan democracy memorial hall , formerly known as the chiang kai-shek memorial hall , saturday to highlight the reasons why they had been opposed to the memorial hall 's old name .",<unk> skit staged at democracy memorial hall
the british and irish lions ran in ## tries -- five in each half -- in a ##-## romp over the golden lions in their second tour match on wednesday to restore hope of a series victory over world champion south africa .,brit lions wallop golden lions ##-##
"svenska handelsbanken ab , one of the nordic regions four main banks , on wednesday reported a # percent rise in third-quarter net profits and said it continues to have strong liquidity .",sweden s handelsbanken says #q net profit rises
"soldiers and townspeople dug through rock and debris monday in hopes of finding dozens of people missing in a mudslide that swept down on a town , part of a wave of floods and landslides that killed at least ### people in el salvador .",with ### dead rescuers seek salvador survivors
"the african union -lrb- au -rrb- is expected to improve its convention on combating terrorism , said an au official here saturday .",au to improve convention against terrorism
saracens fly-half thomas castaignede said tuesday he may take legal action against the french rugby federation -lrb- ffr -rrb- over potential loss of earnings following an injury he sustained while on international duty .,castaignede may sue french rugby over compensation claim
"thousands of brazilians took to the streets friday in cities across the country , protesting high unemployment and interest rates despite recent signs that south america 's biggest economy is turning around after its worst recession in a decade .",tens of thousands of brazilians protest slow pace of economic recovery
"five states in southern mexico lost electricity for two hours due to a power plant failure monday afternoon , leaving residents temporarily without lights , traffic signals or appliances .",five mexican states lose power for two hours due to plant failure
"nigeria on thursday took a step closer to holding its first elections since the return of civilian rule in #### , as a massive voter registration drive got under way .",nigeria begins drive to register voters for landmark polls
hundreds of employees at romania 's finance ministry and at finance institutes around the country have staged a protest over wage cuts .,romanian finance ministry staff protest wage cuts
"china 's economy grew ##.# percent in the second quarter of #### compared with the same period a year earlier , the national bureau of statistics said thursday .",china 's economy grows ##.# percent in second quarter of ####
the centers for disease control -lrb- cdc -rrb- under the department of health confirmed sunday that a woman who died april ## after eating dried beancurd and preserved oysters had a botulism infection .,botulism infection confirmed as cause of woman 's death
"a taxi driver drove his vehicle on a shooting spree across a tranquil stretch of northwest england on wednesday , methodically killing ## people and wounding ## others before turning the gun on himself , officials said .",uk taxi driver kills ## wounds ## in england
"the ecuadorian police deactivated a bomb in the andean city of cuenca on sunday , hours before a beauty pageant for the miss universe #### was scheduled to be held .",ecuadorian police defuse bomb in town hosting miss universe parade
"if spring gardening books instruct the eager gardener , winter ones must inspire as well .",selecting gardening books for holiday giving getting
"west nile virus , a potentially fatal disease transmitted through mosquito bites , has been found in eight dead birds in the canadian province of manitoba , according to a health spokesman for the city of winnipeg , its capital .",west nile virus found in birds in manitoba
maria hjorth of sweden and jee young lee of south korea share the lead after the second round of the sime darby lpga at the kuala lumpur golf and country club .,hjorth lee share sime darby lpga #nd-round lead
"with ###,### terrified rwandans scattered through central zaire 's jungle after attacks on their camps , international officials pressed rebel leader laurent kabila on sunday to let them find and help them .",u.n. flight spots concentrations of rwandan refugees in jungle
"shares in hong kong telecoms giant pccw finished a volatile day slightly higher tuesday , after they resumed trading following a dramatic courtroom showdown that left a privatisation bid in doubt .",pccw shares uncertain after court drama
"a car dealer found a charred cat in a pan of rice and vegetables outside of his business , authorities said .",charred cat in roasting pan with rice vegetables left at utah car dealership
five rick lazio supporters held up blue cardboard letters sunday while awaiting the newly announced u.s. senate candidate 's first campaign visit upstate .,lazio begins senate campaign on talk shows and hurried upstate tour
a social development assistance project sponsored by the united nations children 's fund -lrb- unicef -rrb- has been nearly completed .,unicef completes an assistance project in china
some of hollywood 's leading ladies gathered at a magazine ceremony marking the achievements of six actresses and a director .,johansson bacall among honorees at elle magazine s annual women in hollywood celebration
"britain , france and germany on thursday circulated in the un security council a revised draft resolution that would mandate a suspension of all iranian uranium enrichment activities .",three european powers circulate revised draft on iran nuclear issue
"yemeni security services arrested two european tourists after they illegally entered the yemeni territory , the interior ministry said tuesday .",two european tourists arrested in yemen
confident german captain oliver kahn claims the three-time european championship winners should not be underestimated in the #### european championships in portugal pointing out that they always come good when it matters .,write germany off at your peril warns kahn
"in blunt language , the european commission on tuesday called france 's deportation of roma a `` disgrace '' and threatened legal action against the french government , claiming that it had misled european officials and that it was breaking european law .",france may face legal action over expulsions of roma katrin bennhold reported from paris and stephen castle from brussels
"indonesia 's defense ministry is drafting legislation to make military service compulsory for young people , an official said thursday .",indonesian ministry seeks to make military service compulsory
"gold closed at u.s. dlrs ###.## an ounce on saturday in hong kong , up dlrs #.## from friday 's close of dlrs ###.## .",gold closes higher in hong kong
"forensic experts have exhumed ## bodies so far from a mass grave found recently in northeastern bosnia that is believed to be connected to the #### srebrenica massacre , officials said thursday .",forensic experts exhume ## bodies from mass grave in northeast bosnia
"everyone 's settling down in sex comedies these days : the libidinous louts of `` wedding crashers , '' `` the ##-year-old virgin '' and even the guy who gave womanizing its brand name , `` casanova .",love 's labors often lost in frenetic casanova
"mobs seeking to topple slobodan milosevic turned their fury on his centers of power thursday , leaving parliament and other key belgrade sites in shambles and flames .",yugoslav protesters seize key sites
"victims of a high school diploma program that victimized immigrants across southern california will be awarded restitution as part of a $ ###,### settlement announced friday by attorney general bill lockyer .",lockyer orders restitution for phony diplomas
early results from a study examining use of blood transfusions to prevent strokes in children with sickle cell anemia has prompted the government to urge the treatment 's use in all such cases .,study says blood transfusions cut sickle cell strokes in children
"ten members of the us congress are ready to introduce a resolution calling for simultaneous accession by mainland china and taiwan to the world trade organization -lrb- wto -rrb- , the legislators announced on monday .",us congress members to urge simultaneous wto entry for taiwan prc
"bangladesh 's imports rose by seven percent in the first eight months of the current ####-#### fiscal year compared with the same period of the previous financial year , according to official sources today .",bangladesh 's imports rise
"federal health officials at a meeting friday in tacoma downplayed the risk bird flu poses to humans , contrasting earlier warnings from the federal government .",bird flu threat not so grave cdc chief says
swedish home furnishings retailer ikea on wednesday announced plans for a new distribution center on ## acres -lrb- ## hectares -rrb- near chicago .,ikea to build distribution center near chicago
"egypt will try to get israel and syria to talk peace when an economics conference brings together representatives of the two archenemies , arab sources said sunday .",with eu-mediterranean syria israel could talk peace at economics conference
the united states fended off a strong challenge from china to continue their unbeaten run at the fivb world grand prix finals here on saturday .,standings of #### fivb world grand prix final round
sarah palin 's book is highly anticipated in her home state -- but she 's no harry potter .,alaskans eager for sarah palin book release
"when thousands of car owners complained in the ####s and ####s that their fords unexpectedly stalled , often on highways and while making left turns across oncoming traffic , top company executives repeatedly assured regulators that there was no way to know what might be causing the problem .",ford failed to disclose problem with ignition system documents
"the executive yuan has formally asked the supreme prosecutors office to open a probe into suspected irregularities involved in the controversial sale of a formerly opposition kuomintang -lrb- kmt -rrb- - owned radio station , an official said thursday .",cabinet formally asks prosecutors to probe bcc controversy
two asian teams should make it through to the second round of the #### world cup finals the president of the asian football confederation told afp on saturday .,draw was kind to asian teams says football supremo
a federal judge has dismissed claims by subsidiaries of lehman brothers holdings inc. that a chinese metals and minerals company was legally bound to repay $ ##.# million in trading losses accrued by one of its subsidiaries .,judge dismisses lehman claims
"gold closed at us$ ###.## an ounce on monday in hong kong , up us$ #.## from friday 's close of us$ ###.## .",gold closes higher in hong kong
"the al-aqsa martyrs brigades , an armed offshoot of palestinian leader yasser arafat 's fatah group , claimed the killing of a foreign worker monday , challenging fatah and other factions ' freeze on anti-israeli attacks .",al-aqsa martyrs brigades claims west bank shooting
"iran registered a trade surplus of more than #.# billion u.s. dollars in the last fiscal year from march ## , #### to march ## , #### , local persian daily hamshahri reported today .",iran 's trade surplus #.# billion dollars last year
new york attorney general andrew cuomo said friday he is sending a letter to merrill lynch &amp; co. notifying the investment bank his office will file suit against it imminently as part of wide-ranging investigation into the collapse of the auction-rate securities market .,merrill facing ny lawsuit over securities sale
taiwan 's health minister invited his chinese counterpart to use the world health organization -lrb- who -rrb- as a platform for bilateral talks on cross-taiwan strait cooperation in epidemic prevention and control .,taiwan proposes cross-strait ministerial meeting on epidemic control
"china still faces economic overheating challenges but a near-term interest raise hike is highly improbable as it could accelerate hot money flows , a top central bank official was quoted as saying thursday .",china 's central bank says overheating challenges not over
"iran has resumed its exports of gas to turkey , suspended by ankara since june in a dispute over pricing and quality , press reports said thursday .",iran resumes gas exports to turkey
"cuba and qatar signed an agreement wednesday to build a $ ## million , ###-room resort on a cay south of the island .",cuba teams with qatar to build beach resort
saracens flanker richard hill has had knee surgery which is likely to rule him out for the rest of the season in a blow to england boss andy robinson as he prepares for the autumn tests .,england flanker hill out for the season
four white south africans wednesday faced a fine in court after pleading guilty to humiliating five black housekeepers in a video depicting racial abuse at their former university .,four white s. africans face fine for racist abuse video
"a man who allegedly bribed his way to freedom after being charged with possession of large quantities of cocaine last year turned himself in to the u.s. embassy on monday , an embassy official said .",bourne debuts as box-office top gun with $ ##.# million
lebanese prime minister salim hoss is expected to lead a high-ranking government delegation to manama on sunday to extend condolences for the death of bahraini emir sheikh isa bin sulman al-khalifa .,lebanese pm to visit bahrain to extend condolences
"mattel inc. posted a first quarter loss of $ ## million thursday , citing flat sales of its flagship barbie brand in the united states .",mattel loses $ ## million
"ukrainian president viktor yushchenko said wednesday his country sought to play a role in efforts to forge peace between israel and the palestinians , and israeli president shimon peres suggested that kiev help with money .",ukraine says it seek role in mideast peace peres suggests it help pay
"a ship carrying ## <unk> cars made by the shanghai automobile group set sail for syria via shanghai port on march ## , marking a new era in the mass export of cars with chinese intellectual property rights to the middle east , industry sources said wednesday .",more china-made cars exported to syria
"moro islamic liberation front -lrb- milf -rrb- spokesman eid <unk> said on monday that the government and the milf have agreed to stop skirmishes in southern mindanao , the southern philippines .",philippine military rebels agree to stop fighting
"thai military bank -lrb- tmb -rrb- approved a ##.# billion baht -lrb- ### million dollar -rrb- rights offering monday after australia 's anz banking group abandoned its investment plans , officials said .",thai military bank to launch rights offering after failed anz deal
"premiere , germany 's leading pay-television company , said thursday that it was able to narrow its losses in the second quarter .",premiere narrows losses in second quarter
"the u.s. ambassador in nairobi on thursday called for an investigation into claims the kenyan army tortured thousands of people in an effort to stamp out a brutal militia , but he said the united states had no plans to cut military aid .",us envoy calls for investigation into kenya military but no plans to cut aid
"new york oil futures slumped to their lowest point since mid-february to close tuesday at ##.## dollars a barrel , as traders looked forward to healthy us inventories and lessened tensions over iran .",ny crude futures slump below ## dollars
"once in a while , as i 'm taking out the recycling or staring through a hole in the ozone layer , i 'll think , `` al gore should cut an album .",gore 's passion and compassion make world of difference in truth an inconvenient truth
"two colombian peacekeepers were injured in a shooting incident on friday on the borders of sinai in a camp of the multinational forces and observers in charge of keeping peace between egypt and israel , according to a source from the camp .",two colombian peacekeepers injured in shooting in egypt
"iran offered on wednesday to serve as a peace broker between russia and chechnya , tehran television said .",iran offers to mediate in chechen conflict
the top civilian official overseeing the bosnian peace process tuesday described as provocative the attempts bosnian serb leader radovan karadzic is making to hang on to power while facing charges of crimes against humanity .,bildt keeps up pressure on karadzic to go
"zambia , tanzania and kenya have agreed to invest majority stake in the ###-million-us-dollar power interconnector project that will enable zambia to supply electric power to its neighbors , the official zambia news agency reported monday .",zambia tanzania kenya sign pact on power project
"an iranian was beheaded in public and three others hanged , while five more were due to be executed later tuesday for offences ranging from rape and murder to kidnapping women and homosexuality , reports said .",iranian beheaded in wave of executions
"two vietnamese drug traffickers have been sentenced to death for killing a policeman , local court officials said wednesday .",two drug traffickers get death penalty for vietnam cop 's murder
"five percent of ##-year-olds make more than nt$ # million -lrb- us$ ##,### -rrb- per year , while half of their peers say they do not make enough money , according to the results of a survey conducted by an online human resources company and released wednesday .",# % of ##-year-olds receive million-dollar salaries
"indonesia hosts a conference attended by senior officials of constitutional courts in asian countries , aimed at establishing an association of constitutional courts in the region , local media reported here on monday .",indonesia hosts asia constitutional courts conference
"gypsy leaders attending a ceremony at the former auschwitz death camp saturday accused italy of harassment and discrimination , a news agency reported .",gypsy leaders accuse italy of discrimination
"a government plan to pass a law protecting the right of all new zealanders to access to coastlines , beaches and <unk> angered maori leaders tuesday in the latest row over indigenous rights .",nzealand plans law protecting access to coastline angering maori
